,Unnamed: 0,name,struct,addr,lat,lon
8816,8816,"Центр образования ""Школа Здоровья"" № 1317",(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Академика Анохина улица, 4,к.5",55.67151,37.47071
8817,8817,Средняя общеобразовательная школа с углубленным изучением информатики и английского языка № 1307,(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Академика Анохина улица, 48",55.6533,37.46962
8818,8818,"Средняя общеобразовательная школа ""Школа надомного обучения"" № 542",(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Покрышкина улица, 9",55.66354,37.46691
8819,8819,Средняя общеобразовательная школа № 1010,(Государственное образовательное учреждение),"123308, Москва, Северо-Западный округ,  Мневники улица, д. 7 к.5",57.44844,29.18573
8820,8820,"Центр образования ""Коллаж""№ 1089",(Государственное образовательное учреждение),"123154, Москва, Северо-Западный округ,  Берзарина улица, 19/2",55.78694,37.47666
8821,8821,"Автономная некоммерческая организация средняя общеобразовательная школа ""Логос""",(Негосударственное образовательное учреждение),"123308, Москва, Северо-Западный округ,  Новохорошевский проезд, д.24 к.3",55.77977,37.49185
8822,8822,Средняя общеобразовательная школа № 160,(Государственное образовательное учреждение),"123154, Москва, Северо-Западный округ,  Генерала Карбышева бульвар, 9 корп.2",55.78081,37.46705
8823,8823,Средняя общеобразовательная школа № 341,(Государственное образовательное учреждение),"123492, Москва, Северо-Западный округ,  Карамышевская набережная, 22 к.2",55.77086,37.4788
8824,8824,Средняя общеобразовательная школа № 593,(Государственное образовательное учреждение),"123103, Москва, Северо-Западный округ,  Живописная улица, 11-2",55.7850517,37.454935
8825,8825,НОУ Международная школа углубленного изучения иностранных языков,(Негосударственное образовательное учреждение),"Москва, Северный округ,",55.79447,38.00883
8826,8826,Средняя общеобразовательная школа № 704,(Государственное образовательное учреждение),"125057, Москва, Северный округ,  Острякова улица, 7",55.79934,37.52541
8827,8827,Средняя общеобразовательная школа № 2020,(Государственное образовательное учреждение),"125475, Москва, Северный округ,  Клинская улица, 20А",55.86997,37.49155
8828,8828,Средняя общеобразовательная школа № 648,(Государственное образовательное учреждение),"125581, Москва, Северный округ,  Флотская улица, 11",55.85517,37.50267
8829,8829,Центр образования № 1474,(Государственное образовательное учреждение),"125475, Москва, Северный округ,  Клинская улица, 22",55.87128,37.49059
8831,8831,"Средняя общеобразовательная школа ""Школа Здоровья"" № 138",(Государственное образовательное учреждение),"123154, Москва, Северо-Западный округ,  Генерала Глаголева улица, д.10, к.2
123154 Генерала Карбышева бульвар, д.15, к.3",55.780791,37.467025
8832,8832,Средняя общеобразовательная школа № 80,(Государственное образовательное учреждение),"123103, Москва, Северо-Западный округ,  Маршала Тухачевского улица, 58-2",55.78483,37.45849
8833,8833,Средняя общеобразовательная школа № 100,(Государственное образовательное учреждение),"123308, Москва, Северо-Западный округ,  Мневники улица, д. 14 , к.1",57.44844,29.18573
8834,8834,Средняя общеобразовательная школа № 131,(Государственное образовательное учреждение),"123154, Москва, Северо-Западный округ,  Генерала Карбышева бульвар, 10-4",55.7796409,37.4709441
8835,8835,Негосударственное образовательное учреждение Средняя общеобразовательная школа «Эколь-Примэр»,(Негосударственное образовательное учреждение),"Москва, Юго-Западный округ, Гарибальди улица, 15, корп.1",55.6748,37.54246
8836,8836,НОУ средняя общеобразовательная школа с углубленным изучением иностранного языка (английского) “Промо-М”,(Негосударственное образовательное учреждение),"117413, Москва, Юго-Западный округ,  Ленинский проспект, 131-3",55.64414,37.47348
8837,8837,Начальная школа - детский сад № 1657,(Государственное образовательное учреждение),"117133, Москва, Юго-Западный округ,  Теплый Стан улица, 21Б",55.62668,37.48016
8838,8838,Гимназия № 1507,(Государственное образовательное учреждение),"117321, Москва, Юго-Западный округ,  Профсоюзная улица, д.132, к.9",55.63087,37.5072
