"Name";"Diameter";"TypeExit";"OnTerritoryOfMoscow";"AdmArea";"District";"Latitude_WGS84";"Longitude_WGS84";"NameMetroExit";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Наименование прохода станции МЦД";"Станция МЦД";"Тип прохода";"На территории Москвы";"Административный округ";"Район";"Широта прохода в WGS-84";"Долгота прохода в WGS-84";"Ближайшие входы и выходы вестибюлей Московского метрополитена";"Статус объекта";"global_id";"geoData";"geodata_center";
"Окружная (проход 5)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Марфино";"55.847735";"37.574552";"";"действует";"1059382288";"{coordinates=[37.574552, 55.847735], type=Point}";"";
"Окружная (проход 6)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Марфино";"55.847449";"37.574239";"";"действует";"1059382289";"{coordinates=[37.574239, 55.847449], type=Point}";"";
"Дегунино (проход 1)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Отрадное";"55.867065";"37.572725";"";"действует";"1059382290";"{coordinates=[37.572725, 55.867065], type=Point}";"";
"Дегунино (проход 2)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Отрадное";"55.864684";"37.573751";"";"действует";"1059382291";"{coordinates=[37.573751, 55.864684], type=Point}";"";
"Дегунино (проход 3)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Отрадное";"55.866910";"37.572497";"";"действует";"1059382292";"{coordinates=[37.572497, 55.86691], type=Point}";"";
"Дегунино (проход 4)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Отрадное";"55.866491";"37.572644";"";"действует";"1059382293";"{coordinates=[37.572644, 55.866491], type=Point}";"";
"Дегунино (проход 5)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Отрадное";"55.865710";"37.572985";"";"действует";"1059382294";"{coordinates=[37.572985, 55.86571], type=Point}";"";
"Дегунино (проход 6)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Отрадное";"55.864789";"37.573369";"";"действует";"1059382295";"{coordinates=[37.573369, 55.864789], type=Point}";"";
"Бескудниково (проход 1)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"Алтуфьевский район";"55.881394";"37.569944";"";"действует";"1059382296";"{coordinates=[37.569944, 55.881394], type=Point}";"";
"Бескудниково (проход 2)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"Алтуфьевский район";"55.881671";"37.567482";"";"действует";"1059382297";"{coordinates=[37.567482, 55.881671], type=Point}";"";
"Бескудниково (проход 3)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"Алтуфьевский район";"55.882877";"37.567311";"";"действует";"1059382298";"{coordinates=[37.567311, 55.882877], type=Point}";"";
"Лианозово (проход 8)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Лианозово";"55.899696";"37.547446";"";"действует";"1059382299";"{coordinates=[37.547446, 55.899696], type=Point}";"";
"Лианозово (проход 15) (А)";"nested data";"Вход-выход";"да";"Северный административный округ";"Дмитровский район";"55.898022";"37.550671";"";"действует";"1059382300";"{coordinates=[37.550671, 55.898022], type=Point}";"";
"Марк (проход 1)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Лианозово";"55.904406";"37.538408";"";"действует";"1059382301";"{coordinates=[37.538408, 55.904406], type=Point}";"";
"Марк (проход 2)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Лианозово";"55.902876";"37.540089";"";"действует";"1059382302";"{coordinates=[37.540089, 55.902876], type=Point}";"";
"Марк (проход 3)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Лианозово";"55.902429";"37.540638";"";"действует";"1059382303";"{coordinates=[37.540638, 55.902429], type=Point}";"";
"Марк (проход 4)";"nested data";"Вход-выход";"да";"Северо-Восточный административный округ";"район Лианозово";"55.906773";"37.536798";"";"действует";"1059382304";"{coordinates=[37.536798, 55.906773], type=Point}";"";
"Новодачная (проход 5)";"nested data";"Вход-выход";"нет";"";"";"55.924534";"37.527597";"";"действует";"1059382305";"{coordinates=[37.527597, 55.924534], type=Point}";"";
"Новодачная (проход 4)";"nested data";"Вход-выход";"нет";"";"";"55.925079";"37.527307";"";"действует";"1059382306";"{coordinates=[37.527307, 55.925079], type=Point}";"";
